Date,PX_LAST
12/31/1996,6.745
1/1/1997,6.95
1/2/1997,6.9
1/3/1997,6.855
1/6/1997,6.89
1/7/1997,6.91
1/8/1997,6.88
1/9/1997,6.875
1/10/1997,6.975
1/13/1997,6.94
1/14/1997,6.885
1/15/1997,6.89
1/16/1997,6.88
1/17/1997,6.875
1/20/1997,6.895
1/21/1997,6.88
1/22/1997,6.895
1/23/1997,6.88
1/24/1997,6.945
1/27/1997,6.945
1/28/1997,6.88
1/29/1997,6.88
1/30/1997,6.95
1/31/1997,6.825
2/3/1997,6.88
2/4/1997,6.745
2/5/1997,6.775
2/6/1997,6.885
2/7/1997,6.745
2/10/1997,6.855
2/11/1997,6.86
2/12/1997,6.745
2/13/1997,6.815
2/14/1997,6.605
2/17/1997,6.6
2/18/1997,6.63
2/19/1997,6.62
2/20/1997,6.72
2/21/1997,6.72
2/24/1997,6.74
2/25/1997,6.745
2/26/1997,6.74
2/27/1997,6.72
2/28/1997,6.715
3/3/1997,6.93
3/4/1997,6.96
3/5/1997,6.915
3/6/1997,6.98
3/7/1997,6.905
3/10/1997,6.905
3/11/1997,6.94
3/12/1997,6.965
3/13/1997,7.065
3/14/1997,7.055
3/17/1997,7.075
3/18/1997,7.075
3/19/1997,7.095
3/20/1997,7.09
3/21/1997,7.115
3/24/1997,7.065
3/25/1997,7.125
3/26/1997,7.145
3/27/1997,7.275
3/28/1997,7.275
3/31/1997,7.265
4/1/1997,7.245
4/2/1997,7.225
4/3/1997,7.225
4/4/1997,7.275
4/7/1997,7.225
4/8/1997,7.265
4/9/1997,7.255
4/10/1997,7.285
4/11/1997,7.345
4/14/1997,7.345
4/15/1997,7.24
4/16/1997,7.26
4/17/1997,7.215
4/18/1997,7.18
4/21/1997,7.23
4/22/1997,7.195
4/23/1997,7.235
4/24/1997,7.285
4/25/1997,7.295
4/28/1997,7.26
4/29/1997,7.115
4/30/1997,7.085
5/1/1997,7.035
5/2/1997,7.02
5/5/1997,7.025
5/6/1997,7.035
5/7/1997,7.115
5/8/1997,7.095
5/9/1997,7.025
5/12/1997,7.015
5/13/1997,7.065
5/14/1997,7.025
5/15/1997,7.025
5/16/1997,7.085
5/19/1997,7.075
5/20/1997,7.04
5/21/1997,7.085
5/22/1997,7.115
5/23/1997,7.1
5/26/1997,7.105
5/27/1997,7.155
5/28/1997,7.145
5/29/1997,7.095
5/30/1997,7.015
6/2/1997,6.995
6/3/1997,6.955
6/4/1997,6.965
6/5/1997,6.955
6/6/1997,6.845
6/9/1997,6.895
6/10/1997,6.935
6/11/1997,6.94
6/12/1997,6.855
6/13/1997,6.805
6/16/1997,6.765
6/17/1997,6.795
6/18/1997,6.765
6/19/1997,6.775
6/20/1997,6.755
6/23/1997,6.815
6/24/1997,6.8
6/25/1997,6.825
6/26/1997,6.885
6/27/1997,6.845
6/30/1997,6.885
7/1/1997,6.835
7/2/1997,6.805
7/3/1997,6.705
7/4/1997,6.705
7/7/1997,6.645
7/8/1997,6.645
7/9/1997,6.635
7/10/1997,6.645
7/11/1997,6.615
